Season,TotalGames,G,A,PIM,ESG,PPG,SHG,Shot,GPG,APG,PIM/G,ESG/G,PPG/G,SHG/G,SPG,RegGames,PlayGames,NumTeams
1967-68,484,2476,4014,8859,1918,490,68,26886,5.577,9.041,19.953,4.320,1.104,0.153,60.554,444,40,12
1968-69,493,2718,4469,10257,2100,546,72,29310,5.961,9.800,22.493,4.605,1.197,0.158,64.276,456,37,12
1969-70,490,2649,4258,11247,1923,648,78,29876,5.809,9.338,24.664,4.217,1.421,0.171,65.518,456,34,12
1970-71,589,3409,5557,14880,2552,752,105,34824,6.244,10.178,27.253,4.674,1.377,0.192,63.780,546,43,14
1971-72,582,3348,5374,13046,2512,731,105,33840,6.132,9.842,23.894,4.601,1.339,0.192,61.978,546,36,14
1972-73,662,4088,6688,14868,3212,780,96,38817,6.551,10.718,23.827,5.147,1.250,0.154,62.207,624,38,16
1973-74,662,3989,6461,14842,3081,786,122,37827,6.393,10.354,23.785,4.938,1.260,0.196,60.620,624,38,16
1974-75,771,4932,7986,19891,3621,1151,160,44342,6.850,11.092,27.626,5.029,1.599,0.222,61.586,720,51,18
1975-76,768,4913,8003,20580,3583,1186,144,44068,6.824,11.115,28.583,4.976,1.647,0.200,61.206,720,48,18
1976-77,764,4783,7753,18252,3695,946,142,43227,6.643,10.768,25.350,5.132,1.314,0.197,60.038,720,44,18
1977-78,765,4747,7706,19360,3669,971,107,42173,6.593,10.703,26.889,5.096,1.349,0.149,58.574,720,45,18
1978-79,765,4757,7774,19028,3594,1046,117,39973,6.607,10.797,26.428,4.992,1.453,0.163,55.518,720,45,18
1979-80,907,5901,9550,24655,4493,1285,123,49386,7.025,11.369,29.351,5.349,1.530,0.146,58.793,840,67,21
1980-81,908,6457,10467,33972,4639,1606,212,51237,7.687,12.461,40.443,5.523,1.912,0.252,60.996,840,68,21
1981-82,911,6741,11103,32866,5015,1532,194,52191,8.025,13.218,39.126,5.970,1.824,0.231,62.132,840,71,21
1982-83,906,6493,10622,27422,4807,1493,193,51331,7.730,12.645,32.645,5.723,1.777,0.230,61.108,840,66,21
1983-84,910,6627,10816,29868,4838,1548,241,51404,7.889,12.876,35.557,5.760,1.843,0.287,61.195,840,70,21
1984-85,910,6530,10826,30527,4801,1498,231,51250,7.774,12.888,36.342,5.715,1.783,0.275,61.012,840,70,21
1985-86,912,6667,10957,35432,4714,1716,237,52169,7.937,13.044,42.181,5.612,2.043,0.282,62.106,840,72,21
1986-87,927,6165,10130,36876,4431,1516,218,50411,7.339,12.060,43.900,5.275,1.805,0.260,60.013,840,87,21
1987-88,923,6236,10300,43338,4112,1858,266,51139,7.424,12.262,51.593,4.895,2.212,0.317,60.880,840,83,21
1988-89,922,6286,10416,41428,4249,1778,259,51024,7.483,12.400,49.319,5.058,2.117,0.308,60.743,840,82,21
1989-90,925,6189,10283,39502,4363,1599,227,50846,7.368,12.242,47.026,5.194,1.904,0.270,60.531,840,85,21
1990-91,932,5805,9680,39339,4084,1493,228,50082,6.911,11.524,46.832,4.862,1.777,0.271,59.621,840,92,21
1991-92,966,6123,10218,42944,4174,1700,249,53688,6.958,11.611,48.800,4.743,1.932,0.283,61.009,880,86,22
1992-93,1092,7311,12224,44795,4918,2081,312,62464,7.253,12.127,44.439,4.879,2.064,0.310,61.968,1008,84,24
1993-94,1182,7081,11747,44629,4801,1973,307,66170,6.484,10.757,40.869,4.397,1.807,0.281,60.595,1092,90,26
1994-95,705,3727,6171,24039,2618,965,144,36668,5.973,9.889,38.524,4.196,1.546,0.231,58.763,624,81,26
1995-96,1152,6700,11114,41885,4470,1927,303,64503,6.285,10.426,39.292,4.193,1.808,0.284,60.509,1066,86,26
1996-97,1148,6216,10245,38991,4526,1423,267,63542,5.831,9.611,36.577,4.246,1.335,0.250,59.608,1066,82,26
1997-98,1148,5624,9302,39716,3873,1491,260,58290,5.276,8.726,37.257,3.633,1.399,0.244,54.681,1066,82,26
1998-99,1193,5829,9771,34839,4076,1533,220,61696,5.266,8.827,31.472,3.682,1.385,0.199,55.733,1107,86,27
1999-00,1231,6305,10599,31508,4593,1496,216,64231,5.492,9.233,27.446,4.001,1.303,0.188,55.950,1148,83,28
2000-01,1316,6781,11504,36653,4637,1877,267,68162,5.513,9.353,29.799,3.770,1.526,0.217,55.416,1230,86,30
2001-02,1320,6441,10809,36499,4621,1600,220,67851,5.237,8.788,29.674,3.757,1.301,0.179,55.163,1230,90,30
2002-03,1319,6530,11116,34702,4513,1787,230,69783,5.309,9.037,28.213,3.669,1.453,0.187,56.734,1230,89,30
2003-04,1319,6317,10702,35505,4359,1715,243,69007,5.136,8.701,28.866,3.544,1.394,0.198,56.103,1230,89,30
2005-06,1313,7442,12806,38458,4579,2545,318,73744,6.050,10.411,31.267,3.723,2.069,0.259,59.954,1230,83,30
2006-07,1311,7082,12332,33684,4715,2099,268,72775,5.758,10.026,27.385,3.833,1.707,0.218,59.167,1230,81,30
2007-08,1315,6691,11489,33589,4581,1871,239,71496,5.440,9.341,27.308,3.724,1.521,0.194,58.127,1230,85,30
2008-09,1317,7006,12087,33406,4833,1938,235,74298,5.696,9.827,27.159,3.929,1.576,0.191,60.405,1230,87,30
2009-10,1319,6803,11717,30799,4948,1664,191,74567,5.531,9.526,25.040,4.023,1.353,0.155,60.624,1230,89,30
2010-11,1319,6721,11486,29395,4944,1571,206,74757,5.464,9.338,23.898,4.020,1.277,0.167,60.778,1230,89,30
2011-12,1316,6544,11199,26960,4951,1408,185,73176,5.320,9.105,21.919,4.025,1.145,0.150,59.493,1230,86,30
2012-13,806,3821,6567,16340,2857,871,93,41964,5.307,9.121,22.694,3.968,1.210,0.129,58.283,720,86,30
2013-14,1323,6571,11233,26287,4928,1441,202,73893,5.342,9.133,21.372,4.007,1.172,0.164,60.076,1230,93,30
2014-15,1319,6549,11244,17793,4978,1403,168,73595,5.324,9.141,14.466,4.047,1.141,0.137,59.833,1230,89,30
2015-16,1321,6565,10991,17556,4947,1428,190,73145,5.337,8.936,14.273,4.022,1.161,0.154,59.467,1230,91,30
